,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
12987,Kudymkar,59.0167,54.6667,Russia,266.27,98.0,95.0,3.02
23593,Millersville,36.3968,-86.7111,United States,277.61,42.0,1.0,3.6
6146,Artvin,41.1822,41.8194,Turkey,285.15,58.0,20.0,4.12
24268,Tsarevo,42.1708,27.8511,Bulgaria,282.15,93.0,0.0,3.09
17879,Princeton,33.1778,-96.5044,United States,295.08,2.0,20.0,3.6
24374,Shikhany,52.1167,47.2,Russia,273.39,100.0,100.0,2.6
4254,Downey,33.9379,-118.1312,United States,290.1,55.0,1.0,2.06
18089,Belle Chasse,29.8472,-90.0069,United States,294.4,60.0,75.0,7.72
20899,Didymóteicho,41.35,26.5,Greece,284.16,82.0,0.0,1.37
11567,Parma,65.923,57.403,Russia,281.6,100.0,75.0,1.54
22936,Freyung,48.8075,13.5475,Germany,274.65,82.0,100.0,1.34
19426,Coshocton,40.2618,-81.848,United States,275.08,54.0,100.0,3.39
5402,Vaslui,46.6383,27.7292,Romania,280.04,75.0,0.0,6.69
12644,San Antonio de los Baños,22.8889,-82.4989,Cuba,298.92,29.0,20.0,2.06
23746,Dalton,42.4795,-73.1533,United States,281.3,50.0,100.0,5.64
7279,Phrae,18.1436,100.1417,Thailand,295.37,58.0,0.0,0.12
22227,Logan,39.5386,-82.4063,United States,273.42,59.0,90.0,1.54
13680,New Milford,41.6043,-73.4213,United States,277.91,42.0,1.0,5.14
4364,Bolzano,46.5,11.35,Italy,275.01,93.0,0.0,1.03
22677,Chibougamau,49.9167,-74.3667,Canada,273.15,55.0,1.0,2.06
2981,Almada,38.6803,-9.1583,Portugal,285.08,93.0,20.0,2.06
24837,Dunboyne,53.4199,-6.4751,Ireland,279.83,87.0,75.0,4.63
5785,Kalmar,56.6694,16.3218,Sweden,264.77,92.0,49.0,2.06
9448,Rucava,56.164,21.1627,Latvia,261.64,85.0,75.0,1.03
24856,Washingtonville,41.4296,-74.1578,United States,278.78,48.0,1.0,5.66
17038,Purcellville,39.1378,-77.7109,United States,280.7,31.0,1.0,1.54
19192,Panajachel,14.7361,-91.1558,Guatemala,292.73,56.0,0.0,4.12
14259,Clarence-Rockland,45.4833,-75.2,Canada,275.81,48.0,1.0,4.12
1032,Guli,28.9008,120.0284,China,281.61,83.0,51.0,0.53
9671,Cantaura,9.3005,-64.3564,Venezuela,304.84,45.0,53.0,5.13
728,Cotonou,6.4,2.52,Benin,303.15,84.0,40.0,5.66
12742,Obukhiv,50.1,30.6167,Ukraine,274.18,87.0,75.0,10.0
18463,Lilburn,33.8887,-84.1379,United States,283.65,32.0,75.0,3.09
21478,Zoutleeuw,50.8333,5.1036,Belgium,281.18,87.0,90.0,2.57
6563,Bergenfield,40.9236,-73.9983,United States,277.85,42.0,1.0,5.14
11485,Hokuto,41.8242,140.6531,Japan,264.28,90.0,98.0,7.11
25583,Chiny,49.7383,5.3433,Belgium,279.08,95.0,100.0,2.52
12634,Túquerres,1.09,-77.6199,Colombia,288.15,67.0,75.0,5.14
19912,Kolárovo,47.9153,17.9972,Slovakia,278.35,81.0,0.0,1.03
12733,Greer,34.9313,-82.2315,United States,282.17,23.0,1.0,3.6
