,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
2437,Marília,-22.2139,-49.9458,Brazil,299.63,84.0,80.0,3.21
5576,Maun,-19.9833,23.4167,Botswana,297.15,100.0,75.0,2.57
20835,Currumbin,-28.158,153.469,Australia,294.4,88.0,40.0,1.54
6700,Mohale’s Hoek,-30.159,27.48,Lesotho,290.08,82.0,0.0,1.41
4836,São Mateus,-18.7201,-39.8589,Brazil,299.22,73.0,7.0,3.98
16179,Yaguachi Nuevo,-2.12,-79.69,Ecuador,300.62,78.0,75.0,2.57
26374,Mwenga,-3.0382,28.4325,Congo (Kinshasa),290.62,100.0,11.0,1.22
4174,Caraguatatuba,-23.62,-45.4128,Brazil,305.15,43.0,20.0,3.6
11235,Muhanga,-2.0783,29.7581,Rwanda,292.09,88.0,40.0,2.06
20199,Lonquimay,-38.4333,-71.2333,Chile,308.34,10.0,0.0,4.62
2390,Quilmes,-34.7167,-58.2667,Argentina,301.82,100.0,0.0,3.6
16704,Mapiri,-15.3097,-68.2161,Bolivia,298.75,67.0,100.0,1.23
2856,La Plata,-34.9333,-57.95,Argentina,301.17,38.0,0.0,0.89
4014,Guaratinguetá,-22.8167,-45.2278,Brazil,306.15,46.0,40.0,2.06
10529,Villa Carlos Paz,-31.4,-64.5167,Argentina,300.76,40.0,0.0,3.58
5160,Rundu,-17.9167,19.7667,Namibia,295.89,61.0,100.0,1.03
16595,Itariri,-24.2888,-47.1332,Brazil,303.28,68.0,86.0,1.59
26016,Gingin,-31.34,115.91,Australia,288.71,51.0,0.0,11.32
12032,Villamontes,-21.2647,-63.4586,Bolivia,301.69,46.0,97.0,2.74
16393,Mount Barker,-35.0667,138.85,Australia,285.33,79.0,2.0,4.2
9527,Vanderbijlpark,-26.6992,27.8356,South Africa,290.73,97.0,100.0,1.67
22257,Saltinho,-22.8469,-47.6769,Brazil,303.15,58.0,20.0,2.57
2711,Divinópolis,-20.1495,-44.9,Brazil,298.48,79.0,90.0,1.93
14205,Brasiléia,-11.01,-68.7478,Brazil,305.15,66.0,75.0,1.54
3833,Payakumbuh,-0.2244,100.6325,Indonesia,294.28,90.0,94.0,0.4
17012,Bredasdorp,-34.5333,20.0417,South Africa,293.15,73.0,97.0,3.09
12904,Pativilca,-10.6996,-77.8,Peru,296.75,64.0,93.0,3.34
18350,Colesberg,-30.7167,25.1,South Africa,294.91,63.0,0.0,1.15
25971,Tumby Bay,-34.3667,136.1,Australia,287.0,74.0,2.0,12.75
16230,Santa Elena,-30.95,-59.8,Argentina,302.15,65.0,0.0,4.12
18671,Cortês,-8.47,-35.5436,Brazil,297.92,73.0,25.0,5.01
25858,Manjimup,-34.2411,116.1464,Australia,284.26,81.0,1.0,1.66
26300,McMinns Lagoon,-12.5329,131.05,Australia,295.15,100.0,90.0,1.54
20024,Santiago,-14.1896,-75.74,Peru,303.31,31.0,0.0,3.6
1732,Montes Claros,-16.7322,-43.8636,Brazil,303.15,45.0,75.0,2.57
16293,Catriel,-37.8778,-67.7917,Argentina,306.75,12.0,0.0,5.62
5424,Lautoka,-17.6242,177.4528,Fiji,300.15,89.0,75.0,1.54
998,Samarinda,-0.5022,117.1536,Indonesia,295.92,97.0,97.0,0.35
19082,Mudgee,-32.6125,149.5872,Australia,292.78,88.0,26.0,2.06
1981,Ciudad del Este,-25.5167,-54.6167,Paraguay,300.15,65.0,40.0,3.09
898,Natal,-5.795,-35.2089,Brazil,302.15,61.0,20.0,7.2
6663,Baturité,-4.3296,-38.88,Brazil,299.68,63.0,3.0,2.48
26052,Ivanhoe,-32.8983,144.3,Australia,283.9,87.0,90.0,1.54
26049,Burketown,-17.7167,139.5667,Australia,302.34,76.0,96.0,4.68
6911,Carmelo,-33.9999,-58.2847,Uruguay,301.34,32.0,0.0,4.12
26450,Quilpie,-26.6161,144.2675,Australia,299.83,62.0,100.0,9.6
25959,Coroico,-16.1833,-67.7333,Bolivia,287.15,51.0,75.0,2.57
25935,Puerto Villamil,-0.9333,-91.0167,Ecuador,300.15,71.0,42.0,4.84
17863,Brejo do Cruz,-6.3258,-37.4972,Brazil,305.18,39.0,90.0,10.08
3935,Barretos,-20.5569,-48.5678,Brazil,299.77,83.0,99.0,1.64
6380,Portel,-1.95,-50.82,Brazil,303.07,60.0,98.0,1.79
10118,Cuamba,-14.82,36.5486,Mozambique,295.07,94.0,100.0,0.96
24618,Leongatha,-38.4833,145.95,Australia,292.04,92.0,100.0,0.89
3966,Upington,-28.4572,21.2425,South Africa,300.15,26.0,0.0,3.09
5406,Rio Verde,-17.8196,-50.93,Brazil,305.48,19.0,0.0,2.09
2138,Crato,-7.4639,-63.04,Brazil,300.82,48.0,32.0,0.25
3858,Dunedin,-45.8667,170.5,New Zealand,285.37,69.0,26.0,9.83
542,Córdoba,-31.4167,-64.1833,Argentina,301.52,38.0,20.0,4.63
16722,Karema,-6.8162,30.4333,Tanzania,295.57,82.0,99.0,1.08
25439,Puchuncaví,-32.7261,-71.4151,Chile,290.94,82.0,90.0,4.12
6333,Iporá,-16.45,-51.13,Brazil,300.48,80.0,100.0,1.38
2935,Ayacucho,-13.1631,-74.2244,Peru,293.15,45.0,75.0,3.09
5264,Melo,-32.3595,-54.18,Uruguay,295.87,66.0,1.0,5.53
680,Bogor,-6.6,106.8,Indonesia,298.13,93.0,100.0,0.45
8028,Wentworthville,-33.8233,150.9678,Australia,293.58,94.0,31.0,2.12
4192,Castelar,-34.65,-58.65,Argentina,301.89,35.0,0.0,2.68
13518,Villazón,-22.091,-65.596,Bolivia,289.39,56.0,93.0,7.32
6414,Treinta y Tres,-33.2308,-54.3822,Uruguay,294.96,62.0,82.0,6.46
26396,Nokaneng,-19.6696,22.27,Botswana,295.24,84.0,100.0,1.51
2658,Sete Lagoas,-19.4496,-44.25,Brazil,305.19,40.0,40.0,3.6
9591,Trelew,-43.2533,-65.3094,Argentina,312.14,9.0,0.0,5.43
4016,Huaraz,-9.5333,-77.5333,Peru,288.32,53.0,100.0,2.26
4922,Las Piedras,-34.7167,-56.2167,Uruguay,297.06,53.0,0.0,8.23
7906,Ondjiva,-17.0667,15.7333,Angola,298.6,40.0,78.0,2.22
25866,Newman,-23.3539,119.7319,Australia,285.77,47.0,0.0,4.92
14666,Patacamaya,-17.2333,-67.9167,Bolivia,286.7,58.0,100.0,5.24
26360,Huasco,-28.4696,-71.22,Chile,291.23,77.0,72.0,3.86
8648,Taro,-6.7111,156.3972,Solomon Islands,298.15,94.0,40.0,1.54
7999,Kasane,-17.7983,25.1536,Botswana,293.27,94.0,80.0,1.36
11311,Bulungu,-4.5496,18.6,Congo (Kinshasa),295.49,91.0,35.0,0.3
9709,Pergamino,-33.8836,-60.5669,Argentina,301.28,36.0,0.0,0.89
11234,Villaguay,-31.85,-59.0167,Argentina,300.36,35.0,1.0,6.36
3848,Pangkalpinang,-2.1,106.1,Indonesia,297.4,88.0,76.0,3.34
22120,Macaubal,-20.8058,-49.9639,Brazil,301.15,61.0,75.0,1.54
22238,Mandurah,-32.5289,115.7231,Australia,288.71,56.0,0.0,6.55
15492,Yeppoon,-23.1333,150.7333,Australia,295.15,88.0,2.0,4.64
13506,Llallagua,-18.4231,-66.5856,Bolivia,285.02,63.0,81.0,6.63
17981,Quatá,-22.2475,-50.6983,Brazil,299.21,85.0,100.0,3.15
9288,Asau,-13.5196,-172.6378,Samoa,283.15,62.0,0.0,5.66
3197,José María Ezeiza,-34.8333,-58.5167,Argentina,301.67,34.0,0.0,3.09
18285,Raymond Terrace,-32.7615,151.7441,Australia,295.43,83.0,0.0,3.09
1375,Chimbote,-9.0745,-78.5936,Peru,297.31,61.0,82.0,4.07
